Using the default schema relations
Using Support as pruning metric with threshold 50
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <hasCheckin>  ?b has taken 33768 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <hasPOI>  ?b has taken 33458 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinTimeWindow>  ?b has taken 126731 ms
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinTimeWindow>  ?b has taken 127971 ms
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinRadius>  ?b has taken 130547 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinRadius>  ?b has taken 128368 ms
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <before>  ?b has taken 122730 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <before>  ?b has taken 121352 ms
countProjectionBindings var=?m in ?a  <hasCheckin>  ?f  ?f  <hasTime>  ?l  ?m  <hasTime>  ?l   => ?a  <hasTrajectoryCategory>  <Weekday> has taken 29933 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinTimeWindow>  ?a   => ?a  <hasPOI>  ?b has taken 122830 ms
countProjectionBindings var=?o in ?b  <hasPOICategory>  ?h  ?a  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasPOI>  ?b has taken 45126 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?a  <withinRadius>  ?h   => ?a  <hasPOI>  ?b has taken 142152 ms
countProjectionBindings var=?o in ?a  <before>  ?h  ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasPOI>  ?b has taken 148517 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinRadius>  ?a   => ?a  <hasPOI>  ?b has taken 123396 ms
countProjectionBindings var=?o in ?g  <before>  ?a  ?g  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <hasPOI>  ?b has taken 128576 ms
countProjectionBindings var=?p9 ?a  <hasTrajectoryCategory>  ?h  ?m  <hasTrajectoryCategory>  ?h  ?m  ?p9  ?p   => ?a  <hasCheckin>  ?b has taken 37741 ms
countProjectionBindings var=?o in ?b  <hasTime>  ?n  ?o  <hasTime>  ?n  ?a  <hasTrajectoryCategory>  ?h   => ?a  <hasCheckin>  ?b has taken 46547 ms
countProjectionBindings var=?p9 ?a  <hasTrajectoryCategory>  ?h  ?m  <hasTrajectoryCategory>  ?h  ?o  ?p9  ?m   => ?a  <hasCheckin>  ?b has taken 28853 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?a  <withinRadius>  ?n  ?g  ?p9  ?p   => ?a  <hasTime>  ?b has taken 134959 ms
countProjectionBindings var=?p9 ?a  <before>  ?n  ?g  <hasTime>  ?b  ?g  ?p9  ?p   => ?a  <hasTime>  ?b has taken 137981 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?a  <withinTimeWindow>  ?n  ?g  ?p9  ?p   => ?a  <hasTime>  ?b has taken 139370 ms
countProjectionBindings var=?p in ?m  <hasMonth>  ?p  ?a  <hasTrajectoryCategory>  ?h  ?m  <hasTrajectoryCategory>  ?h   => ?a  <hasCheckin>  ?b has taken 39722 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?m  <withinRadius>  ?a  ?g  ?p9  ?p   => ?a  <hasTime>  ?b has taken 138454 ms
countProjectionBindings var=?p9 ?m  <before>  ?a  ?g  <hasTime>  ?b  ?g  ?p9  ?p   => ?a  <hasTime>  ?b has taken 144211 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?m  <withinTimeWindow>  ?a  ?g  ?p9  ?p   => ?a  <hasTime>  ?b has taken 145903 ms
countProjectionBindings var=?p9 ?a  <hasPOI>  ?n  ?g  <hasTime>  ?b  ?g  ?p9  ?p   => ?a  <hasTime>  ?b has taken 160777 ms
countProjectionBindings var=?p9 ?m  <hasCheckin>  ?a  ?g  <hasTime>  ?b  ?g  ?p9  ?p   => ?a  <hasTime>  ?b has taken 164509 ms
countProjectionBindings var=?p in ?m  <hasDayOfTheWeek>  ?p  ?a  <hasTrajectoryCategory>  ?h  ?m  <hasTrajectoryCategory>  ?h   => ?a  <hasCheckin>  ?b has taken 36256 ms
countProjectionBindings var=?o in ?o  <hasTrajectory>  ?m  ?a  <hasTrajectoryCategory>  ?h  ?m  <hasTrajectoryCategory>  ?h   => ?a  <hasCheckin>  ?b has taken 20150 ms
countProjectionBindings var=?p9 ?a  <hasTrajectoryCategory>  ?h  ?m  <hasTrajectoryCategory>  ?h  ?m  ?p9  ?t   => ?a  <hasCheckin>  ?b has taken 40403 ms
countProjectionBindings var=?p9 ?a  <hasTrajectoryCategory>  ?h  ?m  <hasTrajectoryCategory>  ?h  ?s  ?p9  ?m   => ?a  <hasCheckin>  ?b has taken 28217 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?a  <withinRadius>  ?n  ?o  ?p9  ?g   => ?a  <hasTime>  ?b has taken 134320 ms
countProjectionBindings var=?p9 ?a  <before>  ?n  ?g  <hasTime>  ?b  ?o  ?p9  ?g   => ?a  <hasTime>  ?b has taken 134432 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?a  <withinTimeWindow>  ?n  ?o  ?p9  ?g   => ?a  <hasTime>  ?b has taken 137876 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?m  <withinRadius>  ?a  ?o  ?p9  ?g   => ?a  <hasTime>  ?b has taken 132710 ms
countProjectionBindings var=?p9 ?m  <before>  ?a  ?g  <hasTime>  ?b  ?o  ?p9  ?g   => ?a  <hasTime>  ?b has taken 134892 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?m  <withinTimeWindow>  ?a  ?o  ?p9  ?g   => ?a  <hasTime>  ?b has taken 139565 ms
countProjectionBindings var=?p9 ?a  <hasPOI>  ?n  ?g  <hasTime>  ?b  ?o  ?p9  ?g   => ?a  <hasTime>  ?b has taken 158558 ms
countProjectionBindings var=?p9 ?m  <hasCheckin>  ?a  ?g  <hasTime>  ?b  ?o  ?p9  ?g   => ?a  <hasTime>  ?b has taken 162064 ms
countProjectionBindings var=?p in ?g  <hasPOI>  ?p  ?g  <hasTime>  ?b  ?a  <withinRadius>  ?n   => ?a  <hasTime>  ?b has taken 156426 ms
countProjectionBindings var=?p in ?a  <before>  ?n  ?g  <hasPOI>  ?p  ?g  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 155519 ms
countProjectionBindings var=?p in ?g  <hasPOI>  ?p  ?g  <hasTime>  ?b  ?m  <withinRadius>  ?a   => ?a  <hasTime>  ?b has taken 154706 ms
countProjectionBindings var=?p in ?g  <hasPOI>  ?p  ?g  <hasTime>  ?b  ?a  <withinTimeWindow>  ?n   => ?a  <hasTime>  ?b has taken 159656 ms
countProjectionBindings var=?p in ?m  <before>  ?a  ?g  <hasPOI>  ?p  ?g  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 153997 ms
countProjectionBindings var=?p in ?g  <hasPOI>  ?p  ?g  <hasTime>  ?b  ?m  <withinTimeWindow>  ?a   => ?a  <hasTime>  ?b has taken 157195 ms
countProjectionBindings var=?o in ?h  <before>  ?n  ?o  <hasTime>  ?b  ?a  <withinRadius>  ?h   => ?a  <hasTime>  ?b has taken 69459 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?a  <withinRadius>  ?h  ?h  <withinTimeWindow>  ?n   => ?a  <hasTime>  ?b has taken 71353 ms
countProjectionBindings var=?o in ?h  <hasPOI>  ?n  ?o  <hasTime>  ?b  ?a  <withinRadius>  ?h   => ?a  <hasTime>  ?b has taken 77180 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?a  <withinRadius>  ?h  ?h  <withinRadius>  ?n   => ?a  <hasTime>  ?b has taken 76481 ms
countProjectionBindings var=?p in ?a  <hasPOI>  ?n  ?g  <hasPOI>  ?p  ?g  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 169508 ms
countProjectionBindings var=?p in ?m  <hasCheckin>  ?a  ?g  <hasPOI>  ?p  ?g  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 167532 ms
countProjectionBindings var=?o in ?m  <before>  ?h  ?o  <hasTime>  ?b  ?a  <withinRadius>  ?h   => ?a  <hasTime>  ?b has taken 71549 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?a  <withinRadius>  ?h  ?m  <withinTimeWindow>  ?h   => ?a  <hasTime>  ?b has taken 75616 ms
countProjectionBindings var=?o in ?m  <hasCheckin>  ?h  ?o  <hasTime>  ?b  ?a  <withinRadius>  ?h   => ?a  <hasTime>  ?b has taken 79252 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?a  <withinRadius>  ?h  ?m  <withinRadius>  ?h   => ?a  <hasTime>  ?b has taken 77938 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?a  <withinRadius>  ?n  ?g  ?p9  ?t   => ?a  <hasTime>  ?b has taken 143262 ms
countProjectionBindings var=?p9 ?a  <before>  ?n  ?g  <hasTime>  ?b  ?g  ?p9  ?t   => ?a  <hasTime>  ?b has taken 144058 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?m  <withinRadius>  ?a  ?g  ?p9  ?t   => ?a  <hasTime>  ?b has taken 142906 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?a  <withinTimeWindow>  ?n  ?g  ?p9  ?t   => ?a  <hasTime>  ?b has taken 149153 ms
countProjectionBindings var=?p9 ?m  <before>  ?a  ?g  <hasTime>  ?b  ?g  ?p9  ?t   => ?a  <hasTime>  ?b has taken 144942 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?m  <withinTimeWindow>  ?a  ?g  ?p9  ?t   => ?a  <hasTime>  ?b has taken 150292 ms
countProjectionBindings var=?p9 ?a  <hasPOI>  ?n  ?g  <hasTime>  ?b  ?g  ?p9  ?t   => ?a  <hasTime>  ?b has taken 176618 ms
countProjectionBindings var=?p9 ?m  <hasCheckin>  ?a  ?g  <hasTime>  ?b  ?g  ?p9  ?t   => ?a  <hasTime>  ?b has taken 179400 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?a  <withinRadius>  ?n  ?s  ?p9  ?g   => ?a  <hasTime>  ?b has taken 137759 ms
countProjectionBindings var=?p9 ?a  <before>  ?n  ?g  <hasTime>  ?b  ?s  ?p9  ?g   => ?a  <hasTime>  ?b has taken 137353 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?m  <withinRadius>  ?a  ?s  ?p9  ?g   => ?a  <hasTime>  ?b has taken 136597 ms
countProjectionBindings var=?p9 ?m  <before>  ?a  ?g  <hasTime>  ?b  ?s  ?p9  ?g   => ?a  <hasTime>  ?b has taken 134385 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?a  <withinTimeWindow>  ?n  ?s  ?p9  ?g   => ?a  <hasTime>  ?b has taken 138305 ms
countProjectionBindings var=?p9 ?g  <hasTime>  ?b  ?m  <withinTimeWindow>  ?a  ?s  ?p9  ?g   => ?a  <hasTime>  ?b has taken 137831 ms
countProjectionBindings var=?o in ?g  <before>  ?n  ?o  <hasTime>  ?b  ?g  <withinRadius>  ?a   => ?a  <hasTime>  ?b has taken 73065 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?g  <withinRadius>  ?a  ?g  <withinTimeWindow>  ?n   => ?a  <hasTime>  ?b has taken 75147 ms
countProjectionBindings var=?o in ?g  <hasPOI>  ?n  ?o  <hasTime>  ?b  ?g  <withinRadius>  ?a   => ?a  <hasTime>  ?b has taken 80114 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?g  <withinRadius>  ?a  ?g  <withinRadius>  ?n   => ?a  <hasTime>  ?b has taken 80710 ms
countProjectionBindings var=?o in ?m  <hasCheckin>  ?g  ?o  <hasTime>  ?b  ?g  <withinRadius>  ?a   => ?a  <hasTime>  ?b has taken 79128 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?g  <withinRadius>  ?a  ?m  <withinRadius>  ?g   => ?a  <hasTime>  ?b has taken 78644 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?g  <withinRadius>  ?a  ?m  <withinTimeWindow>  ?g   => ?a  <hasTime>  ?b has taken 75967 ms
countProjectionBindings var=?o in ?m  <before>  ?g  ?o  <hasTime>  ?b  ?g  <withinRadius>  ?a   => ?a  <hasTime>  ?b has taken 70599 ms
countProjectionBindings var=?p9 ?a  <hasPOI>  ?n  ?g  <hasTime>  ?b  ?s  ?p9  ?g   => ?a  <hasTime>  ?b has taken 158964 ms
countProjectionBindings var=?p9 ?m  <hasCheckin>  ?a  ?g  <hasTime>  ?b  ?s  ?p9  ?g   => ?a  <hasTime>  ?b has taken 163673 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?m  <withinRadius>  ?g  ?g  <withinTimeWindow>  ?a   => ?a  <hasTime>  ?b has taken 64297 ms
countProjectionBindings var=?o in ?g  <before>  ?n  ?o  <hasTime>  ?b  ?g  <withinTimeWindow>  ?a   => ?a  <hasTime>  ?b has taken 66167 ms
countProjectionBindings var=?o in ?m  <before>  ?g  ?o  <hasTime>  ?b  ?g  <withinTimeWindow>  ?a   => ?a  <hasTime>  ?b has taken 66439 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?g  <withinRadius>  ?n  ?g  <withinTimeWindow>  ?a   => ?a  <hasTime>  ?b has taken 67127 ms
countProjectionBindings var=?o in ?m  <hasCheckin>  ?g  ?o  <hasTime>  ?b  ?g  <withinTimeWindow>  ?a   => ?a  <hasTime>  ?b has taken 70742 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?g  <withinTimeWindow>  ?a  ?g  <withinTimeWindow>  ?n   => ?a  <hasTime>  ?b has taken 70621 ms
countProjectionBindings var=?o in ?g  <hasPOI>  ?n  ?o  <hasTime>  ?b  ?g  <withinTimeWindow>  ?a   => ?a  <hasTime>  ?b has taken 71348 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?g  <withinTimeWindow>  ?a  ?m  <withinTimeWindow>  ?g   => ?a  <hasTime>  ?b has taken 72190 ms
countProjectionBindings var=?o in ?a  <before>  ?h  ?h  <before>  ?n  ?o  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 68129 ms
countProjectionBindings var=?o in ?a  <before>  ?h  ?o  <hasTime>  ?b  ?h  <withinRadius>  ?n   => ?a  <hasTime>  ?b has taken 75771 ms
countProjectionBindings var=?o in ?a  <before>  ?h  ?o  <hasTime>  ?b  ?m  <withinRadius>  ?h   => ?a  <hasTime>  ?b has taken 77589 ms
countProjectionBindings var=?o in ?a  <before>  ?h  ?o  <hasTime>  ?b  ?h  <withinTimeWindow>  ?n   => ?a  <hasTime>  ?b has taken 79310 ms
countProjectionBindings var=?o in ?a  <before>  ?h  ?o  <hasTime>  ?b  ?m  <withinTimeWindow>  ?h   => ?a  <hasTime>  ?b has taken 79293 ms
countProjectionBindings var=?o in ?a  <before>  ?h  ?h  <hasPOI>  ?n  ?o  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 83233 ms
countProjectionBindings var=?o in ?a  <before>  ?h  ?m  <hasCheckin>  ?h  ?o  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 83230 ms
countProjectionBindings var=?o in ?a  <before>  ?h  ?m  <before>  ?h  ?o  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 83573 ms
countProjectionBindings var=?o in ?g  <before>  ?a  ?m  <before>  ?g  ?o  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 68441 ms
countProjectionBindings var=?o in ?g  <before>  ?a  ?o  <hasTime>  ?b  ?g  <withinRadius>  ?n   => ?a  <hasTime>  ?b has taken 78107 ms
countProjectionBindings var=?o in ?g  <before>  ?a  ?o  <hasTime>  ?b  ?m  <withinTimeWindow>  ?g   => ?a  <hasTime>  ?b has taken 79737 ms
countProjectionBindings var=?o in ?g  <before>  ?a  ?o  <hasTime>  ?b  ?m  <withinRadius>  ?g   => ?a  <hasTime>  ?b has taken 79947 ms
countProjectionBindings var=?o in ?g  <before>  ?a  ?o  <hasTime>  ?b  ?g  <withinTimeWindow>  ?n   => ?a  <hasTime>  ?b has taken 80474 ms
countProjectionBindings var=?o in ?g  <before>  ?a  ?g  <hasPOI>  ?n  ?o  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 83453 ms
countProjectionBindings var=?o in ?g  <before>  ?a  ?m  <hasCheckin>  ?g  ?o  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 84012 ms
countProjectionBindings var=?o in ?g  <before>  ?a  ?g  <before>  ?n  ?o  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 83542 ms
countProjectionBindings var=?k in ?g  <hasCheckin>  ?a  ?k  <hasTime>  ?b  ?g  <hasTrajectoryCategory>  <Weekday>   => ?a  <hasTime>  ?b has taken 26575 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?a  ?o  <hasTime>  ?b  ?g  <hasTrajectoryCategory>  ?n   => ?a  <hasTime>  ?b has taken 34790 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?a  ?g  <hasMonth>  ?n  ?o  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 34736 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?a  ?g  <hasCheckin>  ?n  ?o  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 35397 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?a  ?g  <hasDayOfTheWeek>  ?n  ?o  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 35090 ms
countProjectionBindings var=?o in ?h  <before>  ?n  ?o  <hasTime>  ?b  ?a  <withinTimeWindow>  ?h   => ?a  <hasTime>  ?b has taken 66751 ms
countProjectionBindings var=?o in ?m  <before>  ?h  ?o  <hasTime>  ?b  ?a  <withinTimeWindow>  ?h   => ?a  <hasTime>  ?b has taken 66749 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?h  <withinRadius>  ?n  ?a  <withinTimeWindow>  ?h   => ?a  <hasTime>  ?b has taken 67244 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?m  <withinRadius>  ?h  ?a  <withinTimeWindow>  ?h   => ?a  <hasTime>  ?b has taken 67551 ms
countProjectionBindings var=?o in ?m  <hasCheckin>  ?h  ?o  <hasTime>  ?b  ?a  <withinTimeWindow>  ?h   => ?a  <hasTime>  ?b has taken 71878 ms
countProjectionBindings var=?o in ?h  <hasPOI>  ?n  ?o  <hasTime>  ?b  ?a  <withinTimeWindow>  ?h   => ?a  <hasTime>  ?b has taken 72359 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?a  <withinTimeWindow>  ?h  ?h  <withinTimeWindow>  ?n   => ?a  <hasTime>  ?b has taken 71976 ms
countProjectionBindings var=?o in ?o  <hasTime>  ?b  ?a  <withinTimeWindow>  ?h  ?m  <withinTimeWindow>  ?h   => ?a  <hasTime>  ?b has taken 71793 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?a  ?o  <hasTime>  ?b  ?m  <hasTrajectory>  ?g   => ?a  <hasTime>  ?b has taken 31950 ms
countProjectionBindings var=?o in ?a  <hasPOI>  ?h  ?h  <hasPOICategory>  ?n  ?o  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 31996 ms
countProjectionBindings var=?o in ?a  <hasPOI>  ?h  ?m  <hasPOI>  ?h  ?o  <hasTime>  ?b   => ?a  <hasTime>  ?b has taken 32230 ms
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?p   => ?a  <hasCheckin>  ?b has taken 165804 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?p   => ?a  <hasPOI>  ?b has taken 168297 ms
countProjectionBindings var=?q in ?a  <before>  ?b  ?a  <hasTime>  ?p  ?q  <hasTime>  ?p   => ?a  <withinTimeWindow>  ?b has taken 74479 ms
countProjectionBindings var=?q in ?a  <before>  ?b  ?b  <hasTime>  ?p  ?q  <hasTime>  ?p   => ?a  <withinTimeWindow>  ?b has taken 72847 ms
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?o  ?p9  ?m   => ?a  <hasCheckin>  ?b has taken 163948 ms
countProjectionBindings var=?q in ?a  <hasTime>  ?p  ?q  <hasTime>  ?p  ?a  <withinRadius>  ?b   => ?a  <withinTimeWindow>  ?b has taken 85400 ms
countProjectionBindings var=?q in ?b  <hasTime>  ?p  ?q  <hasTime>  ?p  ?a  <withinRadius>  ?b   => ?a  <withinTimeWindow>  ?b has taken 85372 ms
countProjectionBindings var=?q in ?b  <before>  ?a  ?a  <hasTime>  ?p  ?q  <hasTime>  ?p   => ?a  <withinTimeWindow>  ?b has taken 77469 ms
countProjectionBindings var=?q in ?b  <before>  ?a  ?b  <hasTime>  ?p  ?q  <hasTime>  ?p   => ?a  <withinTimeWindow>  ?b has taken 77788 ms
countProjectionBindings var=?q in ?a  <hasTime>  ?p  ?q  <hasTime>  ?p  ?b  <withinRadius>  ?a   => ?a  <withinTimeWindow>  ?b has taken 86599 ms
countProjectionBindings var=?q in ?b  <hasTime>  ?p  ?q  <hasTime>  ?p  ?b  <withinRadius>  ?a   => ?a  <withinTimeWindow>  ?b has taken 85275 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?o  ?p9  ?m   => ?a  <hasPOI>  ?b has taken 173271 ms
countProjectionBindings var=?p in ?m  <hasPOI>  ?p  ?b  <hasTime>  ?h  ?m  <hasTime>  ?h   => ?a  <hasCheckin>  ?b has taken 185241 ms
